Deposit,Reserve%,Regime,Rebals/Month,Gas Multiplier,Monthly Cost,Months Until Depletion,6mo Reserve Needed%
500,0.02,Low Vol (Stable),2,1.0,2.0,5.0,2.4
500,0.02,Medium Vol (Normal),6,1.2,7.199999999999999,1.4,8.6
500,0.02,High Vol (Degen),15,1.8,27.0,0.4,32.4
500,0.02,Extreme Vol (Crash),25,3.0,75.0,0.1,90.0
1000,0.02,Low Vol (Stable),2,1.0,2.0,10.0,1.2
1000,0.02,Medium Vol (Normal),6,1.2,7.199999999999999,2.8,4.3
1000,0.02,High Vol (Degen),15,1.8,27.0,0.7,16.2
1000,0.02,Extreme Vol (Crash),25,3.0,75.0,0.3,45.0
5000,0.02,Low Vol (Stable),2,1.0,2.0,50.0,0.2
5000,0.02,Medium Vol (Normal),6,1.2,7.199999999999999,13.9,0.9
5000,0.02,High Vol (Degen),15,1.8,27.0,3.7,3.2
5000,0.02,Extreme Vol (Crash),25,3.0,75.0,1.3,9.0
10000,0.02,Low Vol (Stable),2,1.0,2.0,100.0,0.1
10000,0.02,Medium Vol (Normal),6,1.2,7.199999999999999,27.8,0.4
10000,0.02,High Vol (Degen),15,1.8,27.0,7.4,1.6
10000,0.02,Extreme Vol (Crash),25,3.0,75.0,2.7,4.5
